HG00664-GS000016984-ASM	2afe55457f44a9282bf4fa457634570c+52873
HG00671-GS000019202-ASM	50cbc4e3f2576f2f5ddd7ea4e2ea6f67+52876
HG00672-GS000016985-ASM	e343b8e8fc478e218dbb80fdffccf648+52865
HG00673-GS000016986-ASM	51f3311995398b18c3b5b2dc9d1d7938+52873
HG00683-GS000016987-ASM	0a77b5d828382947aaf14a499d1841c6+52871
HG00684-GS000016988-ASM	2184e416dabe5a212b0d27ffbec18c90+52871
HG00685-GS000016978-ASM	b8a49b5ce4dad89ccb9a6acdc1a53c5c+52874
HG00689-GS000016977-ASM	00218a1f6414633aae997b12a7146b8c+52875
HG00690-GS000016994-ASM	aed19bd43484b607352c749d3f6cdb8d+52870
HG00691-GS000016989-ASM	81bd8be0836f9e58da430d2d6f2277af+52875
HG00692-GS000016991-ASM	d2612c951d4a80b8e949c2a3082876f6+52874
HG00693-GS000016992-ASM	499ffb1de040822ea991ffd0d331af21+52871
HG00694-GS000016993-ASM	fcecea88e579e321ea2dc22993b8a45c+52877
HG00731-GS000012103-ASM	03fe846038b07c4caef0d9c962aa5581+52876
HG00731-GS000016547-ASM	282ad4d9e27cef7f4ace1e879f49c862+52876
HG00732-GS000012104-ASM	cefd72c642d2a06387a1f44d1bdca2a6+52875
HG00732-GS000017235-ASM	09572cc20c74f9e03bb17efd54511621+52871
HG00733-GS000012105-ASM	1776bf116394c8e501f9a39e7f1990c3+52870
HG00733-GS000016548-ASM	df0e3dd512c36971f5478cc0f336afbe+52870
HG01565-GS000016975-ASM	601261a31788435bb2a0ebf5236047e3+52869
HG01566-GS000016976-ASM	cc3051916b18bcf805342f9c26ce811d+52868
HG01567-GS000012114-ASM	4182598017052c707fa3b11161a24842+52870
HG01571-GS000013212-ASM	00df2a1608d21e95fa6e742eea3dcdd4+52876
HG01572-GS000013211-ASM	e3799aea4f0b357549ad4cbeed2405bd+52859
HG01573-GS000012117-ASM	1da2ab03b00a9ce936e1b40aeebafc32+52868
HG01577-GS000012118-ASM	eb49904dd0ef546ddc809dcf57ae1974+52883
HG01578-GS000012119-ASM	62cb71387291f64a2b7c42150a80daf9+52872
HG01579-GS000012120-ASM	f1af2e7bc1247831b1b6bffd03751244+52878
HG01892-GS000012121-ASM	22414ccb1dd764a7d3f1b5ee92ce4a51+52876
